Id|Nombre|Departamento_id|Provincia_id
602801003785|La Condicion|6028|6
602801003850|La Vincha|6028|6
602801003915|Las Margaritas|6028|6
602801003985|Loedel Polumbo|6028|6
602801004025|Los Cedros|6028|6
602801004045|Los Lagartos|6028|6
602801004530|Neuquen|6028|6
602801004535|Newton|6028|6
602801004595|Obligado|6028|6
602801004665|P Pueyrredon|6028|6
602801004770|Pedro E Pico|6028|6
602801004780|Pedro Etchegoyen|6028|6
602801004805|Pellerano|6028|6
602801004850|Pinedo|6028|6
602801005025|Prieto|6028|6
602801005080|R Calzada|6028|6
602801005220|Reseda|6028|6
602801005250|Ricardo Rojas|6028|6
602801005315|Rizzuto|6028|6
602801005320|Roberto Arlt|6028|6
602801005350|Roggero|6028|6
602801005390|Ruy Diaz De Guzman|6028|6
602801005425|San Benito|6028|6
602801005515|San Mateo|6028|6
602801005500|San Marcos|6028|6
602801005570|Santa Teresa|6028|6
602801005735|Tabare|6028|6
602801005740|Tacuarembo|6028|6
602801005755|Tales|6028|6
602801005905|V Loreto|6028|6
603501000365|Boedo|6035|6
603501001045|Cerrito|6035|6
603501001050|Cervantes|6035|6
603501001175|Cnl Cespedes|6035|6
603501001300|Coronado|6035|6
603501001565|Esmeralda|6035|6
603501001725|Geronimo Salguero|6035|6
603501001875|Grl Molina|6035|6
603501002190|La Blanca|6035|6
603501002265|Lautaro|6035|6
603501002405|Manuel Ugarte|6035|6
603501002665|Patagonia|6035|6
603501003095|Pje S N|6035|6
603501003210|Ramon Lista|6035|6
603501003340|San Marino|6035|6
603501003415|Spangenberg|6035|6
603501003520|Tupac Amaru|6035|6
603501003535|Union|6035|6
603501003550|Uspallata|6035|6
603501080010|Beruti|6035|6
604201000230|Formosa|6042|6
604201000290|Justino Morales|6042|6
604902000045|Antartida Argentina|6049|6
604902000195|Calle 303|6049|6
604902000620|De Las Cativas|6049|6
604902000685|Facundo Quiroga|6049|6
604902000725|Guamini|6049|6
604902000880|Mexico - C 11|6049|6
604902001050|Pje S N|6049|6
604902001055|Pje San Cayetano|6049|6
604902001165|Tierra Del Fuego,06|6049|Buenos Aires
604902001180|Venezuela|6049|6
605601000185|Alemanes Del Volga|6056|6
605601000290|Araujo|6056|6
605601000380|Av De Las Sophoras|6056|6
605601002360|Damas Mendocinas|6056|6
605601002385|De La Soberania|6056|6
605601002545|Enrique J Agesta|6056|6
605601002595|Euskadi|6056|6
605601002740|Gallego Mora|6056|6
605601003010|Humberto I|6056|6
605601003045|Inmigrantes|6056|6
605601003125|J Penna|6056|6
605601003220|Kloosterman|6056|6
605601003275|La Pampa|6056|6
605601003335|Larrea|6056|6
605601003345|Las Cotorras|6056|6
605601003460|Los Aromos|6056|6
605601003480|Los Naranjos|6056|6
605601003675|Mapuche|6056|6
605601003695|Martin Fierro|6056|6
605601003730|Mejico 2|6056|6
605601003915|P De Rogatis|6056|6
605601003935|P Vanguarota|6056|6
605601003950|Pago Chico|6056|6
605601004060|Penaloza|6056|6
605601004150|Pje Husares|6056|6
605601004360|Pronsato|6056|6
605601004405|Quinquela Martin|6056|6
605601004410|Quintana|6056|6
605601004490|Renuz|6056|6
605601004545|Rodas|6056|6
605601004660|Salvador Mazza|6056|6
605601004680|San Juan|6056|6
605601004695|San Luis|6056|6
605601004745|Santo Domingo|6056|6
605601004765|Sauce Chico|6056|6
605601004790|Sevilla|6056|6
605601004915|Tierra Del Fuego,06|6056|Buenos Aires
605601004955|Tte De Fragata Lestani|6056|6
605601005000|Vespucio|6056|6
605601005035|Waica|6056|6
605601005055|Yepun|6056|6
605601005065|Zeballos|6056|6
606301000165|Calle 22|6063|6
606301000640|Pje S N|6063|6
607001000015|Alberdi|6070|6
607001000350|Chana|6070|6
607001000395|Ernesto Che Guevara|6070|6
607001000465|John F Kennedy|6070|6
609101000500|Calle 129 A|6091|6
607001000535|Malvinas Argentinas|6070|6
607001000600|Perito Moreno|6070|6
607001000725|Sarmiento|6070|6
607701000005|25 De Mayo|6077|6
607701000395|Costa Rica|6077|6
607701000510|Horacio Bancalari|6077|6
607701000810|San Luis|6077|6
607701000820|San Pedro|6077|6
607701000850|Sardi|6077|6
608402000010|3 De Julio - C 51|6084|6
608402000365|Corrientes - C 19|6084|6
608402000455|Grl Rodriguez - C 28|6084|6
608402000560|Marti - C 53|6084|6
608402000660|Salinas Grandes - C 5|6084|6
609101000115|Barton|6091|6
9011903001055|John F Kennedy|90119|90
609101000290|Calle 118 A|6091|6
609101000330|Calle 12 B|6091|6
609101000345|Calle 120|6091|6
609101000395|Calle 123 A|6091|6
609101000430|Calle 126|6091|6
609101000450|Calle 127|6091|6
609101000485|Calle 129 A|6091|6
609101000490|Calle 129 A|6091|6
609101000595|Calle 132 A|6091|6
609101000695|Calle 137 A|6091|6
609101000805|Calle 146|6091|6
609101000880|Calle 152|6091|6
609101000935|Calle 155 A|6091|6
609101000985|Calle 157 A|6091|6
609101001105|Calle 164 A|6091|6
9011903001095|Juan Pablo Ii|90119|90
609101001215|Calle 206 B|6091|6
609101001290|Calle 215|6091|6
609101001515|Calle 27 A|6091|6
609101001525|Calle 28 A|6091|6
609101001535|Calle 29 A|6091|6
609101001610|Calle 309|6091|6
609101001770|Calle 36 A|6091|6
609101001845|Calle 368 B|6091|6
